sym,country,state,fiscal_end,sic,sic_desc,exchange
NMRA,United States,DE,1231.0,2836.0,"Biological Products, (No Diagnostic Subs",Nasdaq
NMRK,United States,DE,1231.0,6531.0,Real Estate Agents & Managers (For Other,Nasdaq
NMTC,United States,DE,930.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
NN,United States,DE,1231.0,3812.0,"Search, Detection, Navigation, Guidance,","Nasdaq,OTC"
NNAX,United States,NV,1231.0,8741.0,Services-Management Services,OTC
NNBR,United States,DE,1231.0,3540.0,Metalworkg Machinery & Equipment,Nasdaq
NNDM,Foreign,L3,1231.0,3672.0,Printed Circuit Boards,Nasdaq
NNE,United States,NV,930.0,4911.0,Electric Services,Nasdaq
NNI,United States,NE,1231.0,6141.0,Personal Credit Institutions,NYSE
NNN,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,NYSE
NNOX,Foreign,L3,1231.0,3844.0,X-Ray Apparatus & Tubes & Related Irradi,Nasdaq
NNUP,United States,MD,1231.0,3944.0,"Games, Toys & Children's Vehicles (No Do",OTC
NNVC,United States,DE,630.0,2834.0,Pharmaceutical Preparations,NYSE
NOA,Foreign,A0,1231.0,1389.0,"Oil & Gas Field Services, NEC",NYSE
NOAH,Foreign,,,6282.0,Investment Advice,NYSE
NOBH,United States,FL,1101.0,2451.0,Mobile Homes,OTC
NOC,United States,,1231.0,3812.0,"Search, Detection, Navigation, Guidance,",NYSE
NODK,United States,,1231.0,6331.0,"Fire, Marine & Casualty Insurance",Nasdaq
NOEM,United States,,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq,Nas"
NOG,United States,,1231.0,1311.0,Crude Petroleum & Natural Gas,NYSE
NOK,Foreign,H9,1231.0,3663.0,Radio & Tv Broadcasting & Communications,"NYSE,OTC"
NOMA,United States,DE,1231.0,7900.0,Services-Amusement & Recreation Services,Nasdaq
NOMD,Foreign,D8,1231.0,2000.0,Food and Kindred Products,NYSE
NORD,United States,DE,331.0,8742.0,Services-Management Consulting Services,OTC
NOTE,United States,DE,1231.0,7389.0,"Services-Business Services, NEC","OTC,OTC"
NOTVQ,United States,IN,930.0,8731.0,Services-Commercial Physical & Biologica,OTC
NOV,United States,DE,1231.0,3533.0,Oil & Gas Field Machinery & Equipment,NYSE
NOVT,United States,A3,1231.0,3690.0,"Miscellaneous Electrical Machinery, Equi","Nasdaq,Nasdaq"
NOW,United States,DE,1231.0,7372.0,Services-Prepackaged Software,NYSE
NP,United States,DE,1231.0,6411.0,"Insurance Agents, Brokers & Service",NYSE
NPAC,United States,E9,1231.0,6770.0,Blank Checks,"Nasdaq,Nasdaq,Nasdaq"
NPB,United States,MI,,6022.0,State Commercial Banks,NYSE
NPCE,United States,DE,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
NPHC,United States,CA,1231.0,2833.0,Medicinal Chemicals & Botanical Products,OTC
NPK,United States,WI,1231.0,3480.0,"Ordnance & Accessories, (No Vehicles/Gui",NYSE
NPKI,United States,DE,1231.0,7350.0,Services-Miscellaneous Equipment Rental ,NYSE
NPLY,United States,WY,731.0,8000.0,Services-Health Services,
NPO,United States,NC,1231.0,3050.0,"Gaskets, Packg & Sealg Devices & Rubber ",NYSE
NPT,Foreign,E9,1231.0,5160.0,Wholesale-Chemicals & Allied Products,Nasdaq
NPWR,United States,DE,1231.0,3620.0,Electrical Industrial Apparatus,"NYSE,NYSE"
NRC,United States,DE,1231.0,8731.0,Services-Commercial Physical & Biologica,Nasdaq
NRDE,United States,DE,1231.0,3711.0,Motor Vehicles & Passenger Car Bodies,OTC
NRDS,United States,DE,1231.0,7374.0,Services-Computer Processing & Data Prep,Nasdaq
NRDY,United States,DE,1231.0,8200.0,Services-Educational Services,NYSE
NREF,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,"NYSE,NYSE"
NRG,United States,DE,1231.0,4911.0,Electric Services,NYSE
NRGV,United States,DE,1231.0,3690.0,"Miscellaneous Electrical Machinery, Equi",NYSE
NRHI,United States,,430.0,5960.0,Retail-Nonstore Retailers,OTC
NRIM,United States,AK,1231.0,6035.0,"Savings Institution, Federally Chartered",Nasdaq
NRIS,United States,NV,228.0,1311.0,Crude Petroleum & Natural Gas,OTC
NRIX,United States,DE,1130.0,2834.0,Pharmaceutical Preparations,Nasdaq
NROM,United States,IN,1231.0,5812.0,Retail-Eating  Places,OTC
NRP,United States,DE,1231.0,1221.0,Bituminous Coal & Lignite Surface Mining,NYSE
NRSN,Foreign,L3,1231.0,2834.0,Pharmaceutical Preparations,"Nasdaq,Nasdaq"
NRT,United States,NH,1031.0,6792.0,Oil Royalty Traders,NYSE
NRXP,United States,DE,1231.0,2834.0,Pharmaceutical Preparations,Nasdaq
NRXS,United States,DE,1231.0,3845.0,Electromedical & Electrotherapeutic Appa,NYSE
NSA,United States,MD,1231.0,6798.0,Real Estate Investment Trusts,
NSC,United States,VA,1231.0,4011.0,"Railroads, Line-Haul Operating",NYSE
NSFDF,Foreign,A0,1231.0,1382.0,Oil & Gas Field Exploration Services,OTC
NSIT,United States,DE,1231.0,5961.0,Retail-Catalog & Mail-Order Houses,Nasdaq
NSLR,United States,MD,1231.0,,,"Nasdaq,Nasdaq"
NSP,United States,DE,1231.0,7363.0,Services-Help Supply Services,NYSE
NSPR,United States,DE,1231.0,3841.0,Surgical & Medical Instruments & Apparat,Nasdaq
NSRCF,Foreign,MN,630.0,1040.0,Gold and Silver Ores,OTC
NSRX,Foreign,L3,1231.0,2834.0,Pharmaceutical Preparations,NYSE
NSSC,United States,DE,630.0,3669.0,"Communications Equipment, NEC",Nasdaq
NSTM,United States,FL,1231.0,5990.0,"Retail-Retail Stores, NEC",OTC
NSTS,United States,,1231.0,6035.0,"Savings Institution, Federally Chartered",Nasdaq
NSYS,United States,MN,1231.0,3679.0,"Electronic Components, NEC",Nasdaq
NTAP,United States,CA,430.0,3572.0,Computer Storage Devices,Nasdaq
NTB,Foreign,D0,1231.0,6029.0,"Commercial Banks, NEC",NYSE
NTCL,Foreign,E9,,7372.0,Services-Prepackaged Software,Nasdaq
