📌 주봉 신호 종목 현황 (2026-06-14 기준)
시총 높은 순 | 총 337개 종목

🇰🇷 한국 (20개)
       시총  [주간%]  종목명
 65.1조    [+3.5%]  기아  ← 이평선수렴, RSI/MACD
$     6B    [+6.4%]  Zions Bancorporation  ← 이평선수렴, RSI/MACD
$     6B    [+3.8%]  South State Corp  ← 이평선수렴, RSI/MACD
$     6B    [+4.2%]  Wintrust Financial(52주)  ← 52주신고가, 이평선수렴
$     6B    [+2.7%]  Brunswick Corporation  ← 이평선수렴, RSI/MACD
$     6B    [+4.8%]  Prosperity Bancshares  ← 이평선수렴, RSI/MACD
$     6B    [+8.7%]  Vornado Realty Trust  ← 5일선라이딩, 이평선수렴
$     6B    [+4.2%]  BOK Financial  ← 이평선수렴, RSI/MACD
$     6B    [+1.0%]  SPX Corporation  ← 이평선수렴, RSI/MACD
$     6B    [+2.2%]  Zurn Water Solutions  ← 이평선수렴, RSI/MACD
$     5B    [+5.2%]  Leonardo DRS(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+5.3%]  Valvoline  ← 이평선수렴, RSI/MACD
$     5B    [+5.3%]  Affiliated Managers Group(52주)  ← 52주신고가, 이평선수렴
$     5B   [+14.5%]  Macy's  ← 이평선수렴, RSI/MACD
$     5B    [+0.3%]  Southwest Gas  ← 이평선수렴, RSI/MACD
$     5B    [+1.0%]  MSC Industrial Direct(52주)  ← 52주신고가, 5일선라이딩
$     5B    [+9.6%]  Hexcel(52주)  ← 52주신고가, RSI/MACD
$     5B    [+4.9%]  Old National Bank  ← 이평선수렴, RSI/MACD
$     5B    [-2.8%]  Halozyme Therapeutics  ← 이평선수렴, RSI/MACD
$     5B    [+5.0%]  Bank OZK(52주)  ← 52주신고가, RSI/MACD
$     5B   [+15.6%]  Ashland  ← 이평선수렴, RSI/MACD
$     5B    [+5.4%]  F.N.B. Corporation(52주)  ← 52주신고가, 이평선수렴
$     5B    [+5.1%]  Franklin Electric  ← 컵위드핸들, 이평선수렴
$     5B    [+4.2%]  Home BancShares  ← 이평선수렴, RSI/MACD
$     5B    [+5.9%]  Gates Industrial Corp  ← 이평선수렴, RSI/MACD
$     4B    [+5.8%]  Herc Holdings  ← 이평선수렴, RSI/MACD
$     4B    [+4.0%]  United Bankshares(52주)  ← 52주신고가, 이평선수렴
$     4B    [+4.4%]  Biohaven Pharmaceutical  ← 이평선수렴, RSI/MACD
$     4B    [+5.6%]  Terex  ← 이평선수렴, RSI/MACD
$     4B   [+35.5%]  Nuvalent(역사적)  ← 52주신고가, 이평선수렴
$     4B    [+5.9%]  Glacier Bancorp  ← 이평선수렴, RSI/MACD
$     4B    [+0.6%]  Silicon Labs(52주)  ← 52주신고가, 5일선라이딩
$     4B    [+9.1%]  Acushnet Holdings  ← 이평선수렴, RSI/MACD
$     4B    [+4.4%]  Rush Enterprises  ← 이평선수렴, RSI/MACD
$     4B   [+16.1%]  Carpenter Technology(역사적)  ← 52주신고가, 이평선수렴
$     4B    [+7.8%]  Matson(52주)  ← 52주신고가, 5일선라이딩
$     4B    [+4.5%]  Hancock Whitney  ← 이평선수렴, RSI/MACD
$     4B    [+1.5%]  Independence Realty Trust  ← 이평선수렴, RSI/MACD
$     4B    [+5.6%]  Columbia Banking System  ← 이평선수렴, RSI/MACD
$     4B   [+20.2%]  Advanced Energy  ← 이평선수렴, RSI/MACD
$     3B    [+0.0%]  Tri Pointe Homes(52주)  ← 52주신고가, 5일선라이딩
$     3B    [+3.2%]  Otter Tail  ← 컵위드핸들, 이평선수렴
$     3B    [+5.3%]  ManpowerGroup  ← 이평선수렴, RSI/MACD
$     3B    [+4.8%]  Cousins Properties  ← 5일선라이딩, 이평선수렴
