📌 주봉 신호 종목 현황 (2026-05-28 기준)
시총 높은 순 | 총 155개 종목

🇰🇷 한국 (3개)
       시총  [주간%]  종목명
168.4조   [+25.1%]  SK스퀘어(52주)  ← 52주신고가, 5일선라이딩
HD현대중공업 [[1Q26 Review] 견조한 상선에 더해지는 DC 엔..]
  26.05.08 / 목표가: 
  한화투자증권
HD현대중공업 [본업도 잘하는데 새로운 기회까지 선점]
  26.05.08 / 목표가: 
  DS투자증권
HD현대중공업 [일회성 요인 없이 실적 서프라이즈]
  26.05.08 / 목표가: 
  하나증권

📎 https://finance.naver.com/item/main.naver?code=329180

──────────────────────────────────────────────────
✅ 삼목에스폼(-1.86%)

❗ 이평선수렴 | RSI/MACD

시가총액 : 3,123억
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 2건)
삼목에스폼 [국내 알루미늄폼 시장점유율 1위 기업]
  22.04.21 / 목표가: 
  나이스디앤비
삼목에스폼 [알루미늄 폼 국내 시장 점유율 1위, 수익성 ..]
  20.08.20 / 목표가: 
  나이스디앤비

📎 https://finance.naver.com/item/main.naver?code=018310
