📌 주봉 신호 종목 현황 (2026-05-31 기준)
시총 높은 순 | 총 261개 종목

🇰🇷 한국 (18개)
       시총  [주간%]  종목명
$     2B    [+6.9%]  Triumph Financial  ← 이평선수렴, RSI/MACD
$     2B    [+9.0%]  The Cheesecake Factory  ← 이평선수렴, RSI/MACD
$     2B   [+15.9%]  Mercury Systems(역사적)  ← 52주신고가, 이평선수렴
$     2B    [+8.4%]  PC Connection  ← 이평선수렴, RSI/MACD
$     2B    [-1.5%]  NexPoint Residential  ← 이평선수렴, RSI/MACD
$     2B    [+9.0%]  Gentherm  ← 이평선수렴, RSI/MACD
$     2B    [+0.8%]  NBT Bancorp  ← 이평선수렴, RSI/MACD
$     2B    [-0.7%]  Customers Bancorp  ← 이평선수렴, RSI/MACD
$     2B    [+2.5%]  Veracyte  ← 이평선수렴, RSI/MACD
$     2B    [-0.3%]  World Kinect  ← 5일선라이딩, 이평선수렴
$     2B    [+0.6%]  Banner Bank  ← 이평선수렴, RSI/MACD
$     2B   [+24.0%]  Frontier Airlines  ← 이평선수렴, RSI/MACD
$     1B    [-1.6%]  Liberty Latin America  ← 이평선수렴, RSI/MACD
$     1B    [+9.5%]  Cannae Holdings  ← 이평선수렴, RSI/MACD
$     1B    [-0.1%]  City Holding Company  ← 컵위드핸들, 이평선수렴
$     1B    [+0.1%]  Veris Residential(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+2.2%]  La-Z-Boy  ← 이평선수렴, RSI/MACD
$     1B    [+0.4%]  CSG International(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+6.2%]  Knowles(52주)  ← 52주신고가, 5일선라이딩
$     1B   [+15.8%]  V2X(역사적)  ← 52주신고가, RSI/MACD
$     1B    [+5.5%]  NETSCOUT(52주)  ← 52주신고가, 5일선라이딩
$     1B    [+6.4%]  Cracker Barrel  ← 이평선수렴, RSI/MACD
$     1B    [+1.1%]  First Commonwealth Financial Corp  ← 컵위드핸들, RSI/MACD
$     1B    [+0.6%]  Stock Yards Bancorp  ← 이평선수렴, RSI/MACD
$     1B    [+2.0%]  First Busey  ← 컵위드핸들, RSI/MACD
$     1B    [+0.9%]  Omnicell  ← 이평선수렴, RSI/MACD
$     1B   [+10.6%]  Caleres  ← 이평선수렴, RSI/MACD
$     1B    [-1.4%]  Two Harbors Investment  ← 이평선수렴, RSI/MACD
$     1B   [+26.7%]  Enovix  ← 이평선수렴, RSI/MACD
$     1B    [+6.1%]  G-III Apparel Group  ← 이평선수렴, RSI/MACD
$     1B    [+0.7%]  Central Securities(52주)  ← 52주신고가, 이평선수렴
$     1B    [+0.2%]  S&amp;T Bancorp(52주)  ← 52주신고가, 컵위드핸들
$     1B   [+12.6%]  Allegiant Air  ← 이평선수렴, RSI/MACD
$     1B   [+19.1%]  Ameresco  ← 이평선수렴, RSI/MACD
$     1B    [+0.0%]  TriCo Bancshares  ← 이평선수렴, RSI/MACD
$     1B    [-0.6%]  Employers Holdings  ← 이평선수렴, RSI/MACD
$     1B    [-0.2%]  Liquidia Technologies(52주)  ← 52주신고가, 이평선수렴
$     1B    [+0.0%]  Golden Entertainment  ← 5일선라이딩, 이평선수렴
$     1B    [+0.5%]  Peoples Bancorp  ← 컵위드핸들, RSI/MACD
$     1B    [+0.0%]  Ellington Financial  ← 5일선라이딩, 이평선수렴
$     1B    [+0.8%]  German American Bancorp  ← 컵위드핸들, 이평선수렴
$     1B    [+9.4%]  PureCycle Technologies  ← 5일선라이딩, 이평선수렴
$     1B   [+13.2%]  Simulations Plus  ← 이평선수렴, RSI/MACD
$     1B    [+1.6%]  Interface  ← 이평선수렴, RSI/MACD
$     1B   [+13.3%]  LendingClub  ← 이평선수렴, RSI/MACD
$     1B   [+11.4%]  SunCoke Energy  ← 이평선수렴, RSI/MACD
$     1B    [+6.2%]  Hudson Pacific Properties  ← 5일선라이딩, 이평선수렴
$     1B    [+0.1%]  Origin Bancorp(52주)  ← 52주신고가, RSI/MACD
$     1B    [-0.1%]  OceanFirst Financial  ← 이평선수렴, RSI/MACD
$     1B   [+14.1%]  OPKO Health  ← 이평선수렴, RSI/MACD
$     1B    [+9.7%]  Xometry(52주)  ← 52주신고가, 이평선수렴

==================================================
개별 종목 상세
==================================================

──────────────────────────────────────────────────
✅ 삼성전자(+5.84%)

❗ 52주신고가 | 5일선라이딩
📌 역사적신고가

시가총액 : 1853.3조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성전자 [밸류에이션 집중 추격 구간]
  26.05.27 / 목표가: 
  미래에셋증권
삼성전자 [초호황 속 조정 구간 = 매수 타이밍]
  26.05.21 / 목표가: 
  신한투자증권
삼성전자 [내부는 태풍, 외부는 폭풍]
  26.05.21 / 목표가: 
  미래에셋증권

📎 https://finance.naver.com/item/main.naver?code=005930

──────────────────────────────────────────────────
✅ SK하이닉스(+20.26%)

❗ 52주신고가 | 5일선라이딩
📌 역사적신고가

시가총액 : 1662.7조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
SK하이닉스 [밸류에이션 대기권 돌파]
  26.05.27 / 목표가: 
  미래에셋증권
SK하이닉스 [우려하는 Chasm이 오지 않을 수도 있다]
  26.05.27 / 목표가: 
  현대차증권
SK하이닉스 [주도주는 원래 비싼 겁니다]
  26.05.21 / 목표가: 
  신한투자증권

📎 https://finance.naver.com/item/main.naver?code=000660

──────────────────────────────────────────────────
✅ 삼성전자우(+7.83%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 162.5조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

📎 https://finance.naver.com/item/main.naver?code=005935

──────────────────────────────────────────────────
✅ 삼성생명(+9.44%)

❗ 52주신고가 | 5일선라이딩
📌 52주신고가

시가총액 : 77.7조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
삼성생명 [1Q26Review: 목표주가 33만원 상향, Trading ..]
  26.05.18 / 목표가: 
  교보증권
삼성생명 [목표 시가총액 100조원]
  26.05.15 / 목표가: 
  신한투자증권
삼성생명 [지분 가치는 증가, 할인율 축소의 근거는 미..]
  26.05.15 / 목표가: 
  한화투자증권

📎 https://finance.naver.com/item/main.naver?code=032830

──────────────────────────────────────────────────
✅ 현대모비스(+14.63%)

❗ 52주신고가 | 이평선수렴
📌 역사적신고가

시가총액 : 69.7조
현재가   : N/A
(네이버금융 기준)

* 주요지표
PER : None배  /  PBR : None배
ROE : N/A  /  EPS : N/A

* 증권사 보고서 (최근 3건)
현대모비스 [자동차 부품사를 넘어 Physical AI 밸류체인..]
  26.05.28 / 목표가: 
  신한투자증권
현대모비스 [핵심부품은 전동화 올라와주고, A/S는 관세 ..]
